ID;Fecha_ Pedido;Cod_Tienda;id_producto;Qtde;Precio_Unitario
AX4396;17-07-2023;A3100104;1007;52;630,99
AX3808;05-04-2023;A3100104;1007;41;630,99
AX3689;18-03-2023;A3100104;1007;50;630,99
AX519;14-02-2023;A1500108;1005;41;999
AX2298;29-07-2023;A1500111;1005;40;999
AX1824;04-06-2023;A1500109;1005;12;999
AX3601;02-03-2023;A5200100;1007;25;630,99
AX98;10-01-2023;A1500111;1006;2;159
AX2450;25-08-2023;A1500109;1004;15;210
AX126;14-01-2023;A1500111;1004;2;210
AX1926;13-06-2023;A1500111;1005;15;999
AX87;10-01-2023;A1500108;1004;16;210
AX2999;19-11-2023;A1500109;1007;14;630,99
AX1114;07-04-2023;A1500109;1004;12;210
AX4406;18-07-2023;A3100104;1004;21;210
AX4033;16-05-2023;A5200050;1005;19;999
AX69;08-01-2023;A1500111;1006;2;159
AX5120;11-11-2023;A3100104;1004;16;210
AX2380;12-08-2023;A1500109;1006;8;159
AX4341;09-07-2023;A5200050;1007;25;630,99
AX5128;12-11-2023;A3100104;1004;47;210
AX1466;06-05-2023;A1500109;1004;21;210
AX1859;06-06-2023;A1500109;1004;9;210
AX1751;29-05-2023;A1500109;1006;11;159
AX1988;19-06-2023;A1500108;1005;17;999
AX952;24-03-2023;A1500111;1004;24;210
AX5020;26-10-2023;A1500107;1004;48;210
AX3580;27-02-2023;A1500107;1007;94;630,99
AX5307;12-12-2023;A5200050;1005;22;999
AX626;25-02-2023;A1500109;1004;10;210
AX4490;02-08-2023;A5200100;1005;16;999
AX4862;02-10-2023;A1500107;1005;50;999
AX3098;04-12-2023;A1500109;1006;11;159
AX280;27-01-2023;A1500109;1006;12;159
AX739;07-03-2023;A1500109;1004;14;210
AX5069;05-11-2023;A5200100;1007;40;630,99
AX3100;04-12-2023;A1500109;1008;1;119,3
AX4927;12-10-2023;A3100104;1005;24;999
AX81;09-01-2023;A1500109;1006;13;159
AX2341;06-08-2023;A1500109;1007;24;630,99
AX532;15-02-2023;A1500109;1004;16;210
AX2591;17-09-2023;A1500109;1006;13;159
AX1221;17-04-2023;A1500109;1007;23;630,99
AX1448;05-05-2023;A1500109;1007;22;630,99
AX4146;05-06-2023;A1500107;1007;66;630,99
AX2982;17-11-2023;A1500109;1006;8;159
AX76;09-01-2023;A1500111;1005;2;999
AX1878;09-06-2023;A1500109;1006;12;159
AX4240;21-06-2023;A3100104;1005;26;999
AX1737;28-05-2023;A1500109;1006;11;159
AX4476;31-07-2023;A3100104;1007;34;630,99
AX184;17-01-2023;A1500109;1004;9;210
AX940;23-03-2023;A1500109;1006;10;159
AX2094;27-06-2023;A1500111;1007;27;630,99
AX2632;23-09-2023;A1500109;1004;16;210
AX1606;18-05-2023;A1500108;1004;17;210
AX2152;02-07-2023;A1500111;1004;36;210
AX4263;26-06-2023;A3100104;1004;32;210
AX1886;09-06-2023;A1500109;1006;14;159
AX2774;15-10-2023;A1500109;1004;19;210
AX826;14-03-2023;A1500109;1004;11;210
AX605;21-02-2023;A1500109;1005;12;999
AX1561;14-05-2023;A1500109;1004;19;210
AX898;19-03-2023;A1500109;1004;12;210
AX488;11-02-2023;A1500108;1004;17;210
AX3352;22-01-2023;A5200100;1005;35;999
AX761;09-03-2023;A1500108;1007;28;630,99
AX2227;17-07-2023;A1500109;1006;18;159
AX324;30-01-2023;A1500109;1006;11;159
AX4601;19-08-2023;A3100104;1005;42;999
AX3271;08-01-2023;A1500107;1007;144;630,99
AX2150;02-07-2023;A1500109;1006;13;159
AX4837;28-09-2023;A1500107;1005;72;999
AX904;19-03-2023;A1500108;1004;36;210
AX1734;28-05-2023;A1500109;1005;14;999
AX4841;28-09-2023;A5200050;1004;44;210
AX1095;06-04-2023;A1500109;1004;20;210
AX2676;30-09-2023;A1500109;1004;21;210
AX2518;04-09-2023;A1500109;1004;20;210
AX354;01-02-2023;A1500109;1004;12;210
AX5154;18-11-2023;A3100104;1004;46;210
AX2823;23-10-2023;A1500109;1006;14;159
AX1723;28-05-2023;A1500109;1006;11;159
AX1382;30-04-2023;A1500109;1001;8;160,99
AX2263;23-07-2023;A1500109;1006;11;159
AX1998;19-06-2023;A1500108;1004;18;210
AX1858;06-06-2023;A1500109;1004;17;210
AX3071;01-12-2023;A1500109;1006;9;159
AX2957;14-11-2023;A1500108;1007;35;630,99
AX2406;17-08-2023;A1500109;1006;9;159
AX1264;21-04-2023;A1500109;1004;8;210
AX2311;01-08-2023;A1500109;1001;11;160,99
AX2367;10-08-2023;A1500111;1004;20;210
AX4623;21-08-2023;A5200100;1004;42;210
AX2940;11-11-2023;A1500109;1006;13;159
AX580;20-02-2023;A1500109;1006;11;159
AX2989;18-11-2023;A1500109;1006;11;159
AX4612;20-08-2023;A3100104;1002;16;320,19
AX2206;14-07-2023;A1500108;1004;20;210
AX2417;18-08-2023;A1500109;1006;20;159
AX4462;29-07-2023;A3100104;1001;24;160,99
AX3082;03-12-2023;A1500109;1006;8;159
AX5236;02-12-2023;A3100104;1001;36;160,99
AX1850;05-06-2023;A1500109;1004;18;210
AX4171;10-06-2023;A5200050;1001;15;160,99
AX2821;22-10-2023;A1500109;1007;8;630,99
AX3376;25-01-2023;A3100104;1004;48;210
AX1187;14-04-2023;A1500109;1007;32;630,99
AX2362;08-08-2023;A1500111;1006;23;159
AX601;21-02-2023;A1500108;1004;23;210
AX3224;24-12-2023;A1500109;1003;9;499,19
AX3066;30-11-2023;A1500111;1005;38;999
AX1640;21-05-2023;A1500109;1006;12;159
AX1532;12-05-2023;A1500109;1006;18;159
AX1410;02-05-2023;A1500111;1005;22;999
AX3088;03-12-2023;A1500108;1006;15;159
AX2590;17-09-2023;A1500108;1007;38;630,99
AX20;04-01-2023;A1500109;1006;16;159
AX1845;05-06-2023;A1500109;1004;9;210
AX3046;25-11-2023;A1500109;1005;17;999
AX633;25-02-2023;A1500111;1004;23;210
AX1058;03-04-2023;A1500109;1006;23;159
AX2807;20-10-2023;A1500111;1006;22;159
AX1964;17-06-2023;A1500109;1006;12;159
AX2818;22-10-2023;A1500109;1006;13;159
AX1372;29-04-2023;A1500109;1006;10;159
AX1325;25-04-2023;A1500109;1005;13;999
AX1311;24-04-2023;A1500109;1006;8;159
AX2815;21-10-2023;A1500111;1004;98;210
AX2015;20-06-2023;A1500109;1006;13;159
AX1070;04-04-2023;A1500109;1004;22;210
AX4730;10-09-2023;A3100104;1007;16;630,99
AX454;08-02-2023;A1500109;1006;12;159
AX2374;11-08-2023;A1500109;1001;11;160,99
AX1403;01-05-2023;A1500109;1006;8;159
AX3028;23-11-2023;A1500111;1004;16;210
AX2872;29-10-2023;A1500109;1006;20;159
AX115;13-01-2023;A1500111;1001;2;160,99
AX2860;26-10-2023;A1500108;1004;38;210
AX1787;02-06-2023;A1500109;1004;9;210
AX1765;30-05-2023;A1500109;1004;8;210
AX2098;27-06-2023;A1500111;1005;49;999
AX79;09-01-2023;A1500108;1006;28;159
AX2064;25-06-2023;A1500109;1006;20;159
AX1113;07-04-2023;A1500109;1006;9;159
AX843;16-03-2023;A1500111;1004;31;210
AX1591;16-05-2023;A1500109;1006;13;159
AX2345;06-08-2023;A1500109;1003;8;499,19
AX1552;14-05-2023;A1500109;1004;10;210
AX4978;21-10-2023;A3100104;1008;15;119,3
AX3293;12-01-2023;A5200100;1004;28;210
AX3083;03-12-2023;A1500109;1006;8;159
AX901;19-03-2023;A1500109;1006;9;159
AX4037;17-05-2023;A5200100;1001;29;160,99
AX3863;15-04-2023;A3100104;1007;52;630,99
AX3258;31-12-2023;A1500109;1006;9;159
AX1313;24-04-2023;A1500109;1001;12;160,99
AX1600;18-05-2023;A1500109;1006;17;159
AX1912;11-06-2023;A1500110;1004;29;210
AX315;29-01-2023;A1500109;1006;9;159
AX2339;06-08-2023;A1500110;1006;17;159
AX4291;01-07-2023;A5200100;1001;22;160,99
AX1783;02-06-2023;A1500109;1006;15;159
AX4377;13-07-2023;A3100104;1008;24;119,3
AX1726;28-05-2023;A1500111;1004;33;210
AX3930;29-04-2023;A3100104;1004;20;210
AX1472;07-05-2023;A1500109;1006;14;159
AX2633;23-09-2023;A1500109;1005;8;999
AX1339;27-04-2023;A1500111;1004;100;210
AX4301;02-07-2023;A3100104;1005;21;999
AX2717;06-10-2023;A1500109;1003;10;499,19
AX3251;30-12-2023;A1500109;1006;8;159
AX1231;17-04-2023;A1500109;1007;13;630,99
AX02;01-01-2023;A1500109;1001;11;160,99
AX3132;10-12-2023;A1500111;1005;28;999
AX1813;03-06-2023;A1500109;1006;14;159
AX1904;11-06-2023;A1500108;1006;25;159
AX3370;24-01-2023;A3100104;1007;38;630,99
AX2297;29-07-2023;A1500108;1006;24;159
AX2698;03-10-2023;A1500111;1006;15;159
AX1019;31-03-2023;A1500109;1006;12;159
AX5370;25-12-2023;A1500107;1004;42;210
AX5298;11-12-2023;A5200100;1008;20;119,3
AX330;30-01-2023;A1500109;1006;17;159
AX2712;05-10-2023;A1500109;1006;11;159
AX1583;16-05-2023;A1500109;1006;19;159
AX4685;03-09-2023;A3100104;1007;16;630,99
AX2396;15-08-2023;A1500109;1006;11;159
AX531;15-02-2023;A1500109;1006;14;159
AX2972;16-11-2023;A1500109;1003;11;499,19
AX80;09-01-2023;A1500109;1004;10;210
AX687;02-03-2023;A1500109;1004;26;210
AX4725;09-09-2023;A5200050;1007;29;630,99
AX2264;23-07-2023;A1500109;1001;13;160,99
AX525;14-02-2023;A1500109;1004;17;210
AX4427;22-07-2023;A3100104;1002;21;320,19
AX3543;23-02-2023;A5200100;1007;20;630,99
AX413;06-02-2023;A1500111;1006;26;159
AX572;19-02-2023;A1500109;1004;9;210
AX4266;26-06-2023;A3100104;1006;16;159
AX936;23-03-2023;A1500109;1006;16;159
AX2613;21-09-2023;A1500111;1006;32;159
AX946;23-03-2023;A1500109;1008;4;119,3
AX1102;07-04-2023;A1500109;1005;14;999
AX3997;10-05-2023;A3100104;1007;20;630,99
AX2123;30-06-2023;A1500109;1006;25;159
AX2701;03-10-2023;A1500109;1005;12;999
AX598;21-02-2023;A1500111;1004;18;210
AX5064;04-11-2023;A1500107;1004;104;210
AX4971;19-10-2023;A1500107;1004;72;210
AX1428;04-05-2023;A1500108;1004;78;210
AX3465;07-02-2023;A3100104;1004;34;210
AX2048;24-06-2023;A1500109;1004;14;210
AX2310;31-07-2023;A1500109;1006;13;159
AX807;12-03-2023;A1500109;1006;15;159
AX677;02-03-2023;A1500109;1008;4;119,3
AX1000;28-03-2023;A1500111;1004;48;210
AX52;07-01-2023;A1500111;1008;2;119,3
AX434;07-02-2023;A1500111;1005;24;999
AX2798;19-10-2023;A1500109;1004;9;210
AX4164;08-06-2023;A3100104;1005;21;999
AX2164;04-07-2023;A1500109;1006;16;159
AX4583;15-08-2023;A3100104;1007;24;630,99
AX4186;12-06-2023;A5200100;1008;32;119,3
AX889;19-03-2023;A1500109;1006;16;159
AX1396;01-05-2023;A1500108;1005;28;999
AX3610;04-03-2023;A3100104;1005;37;999
AX140;15-01-2023;A1500111;1008;2;119,3
AX1531;12-05-2023;A1500109;1006;19;159
AX4965;19-10-2023;A3100104;1002;25;320,19
AX1887;09-06-2023;A1500109;1006;10;159
AX1625;19-05-2023;A1500109;1006;10;159
AX2200;13-07-2023;A1500109;1005;16;999
AX1675;23-05-2023;A1500108;1006;30;159
AX2154;02-07-2023;A1500111;1006;26;159
AX3426;01-02-2023;A3100104;1007;16;630,99
AX3870;16-04-2023;A5200100;1005;29;999
AX4834;28-09-2023;A5200100;1007;42;630,99
AX4313;04-07-2023;A3100104;1007;19;630,99
AX727;06-03-2023;A1500109;1006;19;159
AX816;13-03-2023;A1500109;1006;17;159
AX1818;03-06-2023;A1500109;1004;14;210
AX3698;19-03-2023;A3100104;1008;17;119,3
AX2534;07-09-2023;A1500109;1003;13;499,19
AX923;21-03-2023;A1500109;1004;17;210
AX3110;08-12-2023;A1500111;1006;25;159
AX5158;18-11-2023;A3100104;1007;30;630,99
AX3980;07-05-2023;A5200100;1005;16;999
AX4958;17-10-2023;A3100104;1003;15;499,19
AX957;25-03-2023;A1500109;1004;9;210
AX3194;18-12-2023;A1500109;1006;12;159
AX3612;05-03-2023;A5200100;1005;27;999
AX830;14-03-2023;A1500109;1003;8;499,19
AX1400;01-05-2023;A1500109;1006;23;159
AX5244;03-12-2023;A5200100;1001;15;160,99
AX497;12-02-2023;A1500109;1006;15;159
AX3072;01-12-2023;A1500109;1003;9;499,19
AX3804;05-04-2023;A3100104;1006;23;159
AX692;03-03-2023;A1500108;1005;30;999
AX3498;14-02-2023;A5200100;1004;35;210
AX1794;03-06-2023;A1500109;1004;9;210
AX1371;29-04-2023;A1500111;1006;29;159
AX5131;13-11-2023;A3100104;1007;43;630,99
AX1884;09-06-2023;A1500109;1004;10;210
AX2142;01-07-2023;A1500109;1006;11;159
AX1837;05-06-2023;A1500109;1006;20;159
AX2931;10-11-2023;A1500109;1003;17;499,19
AX1357;28-04-2023;A1500109;1006;11;159
AX4557;12-08-2023;A5200100;1001;17;160,99
AX2084;26-06-2023;A1500108;1004;23;210
AX2829;23-10-2023;A1500108;1006;33;159
AX2660;28-09-2023;A1500111;1006;24;159
AX3026;23-11-2023;A1500111;1006;38;159
AX2847;26-10-2023;A1500109;1001;14;160,99
AX343;31-01-2023;A1500109;1006;20;159
AX196;18-01-2023;A1500109;1003;8;499,19
AX2228;17-07-2023;A1500109;1004;11;210
AX2857;26-10-2023;A1500108;1006;22;159
AX3135;10-12-2023;A1500108;1004;17;210
AX1242;18-04-2023;A1500109;1003;11;499,19
AX1390;30-04-2023;A1500109;1003;15;499,19
AX3178;16-12-2023;A1500108;1005;43;999
AX4556;12-08-2023;A3100104;1004;26;210
AX624;24-02-2023;A1500109;1006;17;159
AX339;31-01-2023;A1500109;1007;19;630,99
AX149;15-01-2023;A1500108;1006;35;159
AX1250;18-04-2023;A1500111;1005;15;999
AX545;17-02-2023;A1500109;1006;16;159
AX1820;04-06-2023;A1500111;1006;47;159
AX4628;23-08-2023;A1500107;1004;88;210
AX710;04-03-2023;A1500108;1004;44;210
AX1321;25-04-2023;A1500109;1006;13;159
AX2102;27-06-2023;A1500111;1007;17;630,99
AX1468;07-05-2023;A1500111;1004;37;210
AX266;27-01-2023;A1500109;1003;15;499,19
AX3579;27-02-2023;A3100104;1006;20;159
AX182;17-01-2023;A1500109;1005;12;999
AX1779;02-06-2023;A1500108;1006;31;159
AX3027;23-11-2023;A1500109;1005;25;999
AX1831;04-06-2023;A1500111;1006;32;159
AX1130;09-04-2023;A1500108;1006;37;159
AX1093;06-04-2023;A1500111;1004;21;210
AX2307;31-07-2023;A1500111;1006;22;159
AX430;07-02-2023;A1500108;1004;44;210
AX04;01-01-2023;A1500108;1004;23;210
AX2024;22-06-2023;A1500111;1004;28;210
AX1067;04-04-2023;A1500111;1001;23;160,99
AX1304;24-04-2023;A1500109;1008;4;119,3
AX3504;16-02-2023;A1500107;1007;62;630,99
AX227;22-01-2023;A1500109;1006;25;159
AX3485;11-02-2023;A3100104;1007;17;630,99
AX799;12-03-2023;A1500109;1006;24;159
AX1743;29-05-2023;A1500108;1004;29;210
AX3433;01-02-2023;A3100104;1004;45;210
AX944;23-03-2023;A1500109;1003;13;499,19
AX833;14-03-2023;A1500108;1006;38;159
AX3497;14-02-2023;A3100104;1001;43;160,99
AX418;06-02-2023;A1500109;1001;24;160,99
AX2379;12-08-2023;A1500109;1006;13;159
AX1218;16-04-2023;A1500109;1006;15;159
AX3208;22-12-2023;A1500109;1006;21;159
AX2070;25-06-2023;A1500109;1004;20;210
AX1202;15-04-2023;A1500111;1006;32;159
AX2301;30-07-2023;A1500109;1006;25;159
AX5280;09-12-2023;A5200100;1006;17;159
AX1134;09-04-2023;A1500109;1001;23;160,99
AX16;03-01-2023;A1500108;1006;22;159
AX4170;10-06-2023;A5200100;1008;15;119,3
AX2243;20-07-2023;A1500109;1006;20;159
AX10;02-01-2023;A1500111;1004;26;210
AX3109;07-12-2023;A1500109;1006;18;159
AX3521;19-02-2023;A5200100;1005;21;999
AX3446;04-02-2023;A3100104;1001;39;160,99
AX4107;29-05-2023;A3100104;1007;22;630,99
AX1719;27-05-2023;A1500111;1007;86;630,99
AX2736;09-10-2023;A1500109;1005;14;999
AX1662;23-05-2023;A1500109;1005;19;999
AX864;17-03-2023;A1500109;1004;24;210
AX293;28-01-2023;A1500109;1004;14;210
AX4994;23-10-2023;A3100104;1001;24;160,99
AX2262;23-07-2023;A1500109;1006;18;159
AX1980;18-06-2023;A1500109;1003;11;499,19
AX209;21-01-2023;A1500108;1006;38;159
AX2810;20-10-2023;A1500109;1004;12;210
AX3439;02-02-2023;A3100104;1003;15;499,19
AX3076;02-12-2023;A1500109;1004;8;210
AX1333;25-04-2023;A1500109;1006;17;159
AX3562;25-02-2023;A3100104;1007;34;630,99
AX3063;28-11-2023;A1500109;1006;14;159
AX2224;16-07-2023;A1500108;1006;25;159
AX5108;09-11-2023;A3100104;1003;18;499,19
AX4889;05-10-2023;A3100104;1005;23;999
AX1730;28-05-2023;A1500109;1008;4;119,3
AX715;05-03-2023;A1500109;1006;14;159
AX2988;18-11-2023;A1500109;1006;19;159
AX256;25-01-2023;A1500109;1006;25;159
AX1915;12-06-2023;A1500109;1006;32;159
AX1176;13-04-2023;A1500109;1001;9;160,99
AX2314;01-08-2023;A1500110;1006;45;159
AX3323;17-01-2023;A3100104;1004;36;210
AX2351;07-08-2023;A1500111;1006;32;159
AX2572;14-09-2023;A1500109;1006;15;159
AX1524;12-05-2023;A1500108;1006;35;159
AX2756;12-10-2023;A1500111;1005;15;999
AX3068;01-12-2023;A1500109;1005;19;999
AX1433;04-05-2023;A1500109;1005;9;999
AX2919;07-11-2023;A1500111;1004;16;210
AX4112;30-05-2023;A5200100;1006;15;159
AX1516;11-05-2023;A1500108;1005;38;999
AX793;11-03-2023;A1500109;1006;15;159
AX3257;31-12-2023;A1500109;1005;21;999
AX4236;21-06-2023;A3100104;1001;20;160,99
AX2501;02-09-2023;A1500109;1003;16;499,19
AX1678;25-05-2023;A1500111;1004;19;210
AX333;30-01-2023;A1500111;1006;37;159
AX991;28-03-2023;A1500108;1006;31;159
AX1161;11-04-2023;A1500111;1004;19;210
AX3371;24-01-2023;A3100104;1005;16;999
AX4875;03-10-2023;A1500107;1004;42;210
AX5135;14-11-2023;A1500107;1006;21;159
AX1286;22-04-2023;A1500109;1006;24;159
AX3952;02-05-2023;A5200050;1004;23;210
AX4131;03-06-2023;A3100104;1007;27;630,99
AX1917;12-06-2023;A1500111;1004;17;210
AX1406;02-05-2023;A1500108;1004;117;210
AX473;10-02-2023;A1500110;1006;45;159
AX1266;21-04-2023;A1500111;1004;17;210
AX1803;03-06-2023;A1500111;1004;23;210
AX1228;17-04-2023;A1500108;1005;18;999
AX4229;19-06-2023;A5200100;1004;52;210
AX3245;29-12-2023;A1500109;1001;14;160,99
AX1150;10-04-2023;A1500108;1006;41;159
AX5188;25-11-2023;A5200100;1002;27;320,19
AX1660;22-05-2023;A1500109;1006;14;159
AX17;03-01-2023;A1500111;1008;2;119,3
AX4083;24-05-2023;A5200050;1006;36;159
AX3718;22-03-2023;A1500107;1005;88;999
AX1536;13-05-2023;A1500108;1006;17;159
AX3577;27-02-2023;A3100104;1005;22;999
AX5185;23-11-2023;A5200100;1004;34;210
AX2274;25-07-2023;A1500109;1004;20;210
AX1721;27-05-2023;A1500109;1003;22;499,19
AX1903;11-06-2023;A1500108;1004;46;210
AX774;10-03-2023;A1500109;1003;10;499,19
AX1921;13-06-2023;A1500111;1006;27;159
AX3102;05-12-2023;A1500109;1006;16;159
AX4972;19-10-2023;A3100104;1007;42;630,99
AX2246;20-07-2023;A1500109;1003;11;499,19
AX5038;29-10-2023;A3100104;1006;39;159
AX2420;19-08-2023;A1500109;1005;16;999
AX1442;05-05-2023;A1500109;1006;16;159
AX108;11-01-2023;A1500109;1006;26;159
AX1775;01-06-2023;A1500108;1004;48;210
AX4251;24-06-2023;A5200100;1001;29;160,99
AX358;01-02-2023;A1500109;1003;21;499,19
AX2776;15-10-2023;A1500110;1006;23;159
AX235;23-01-2023;A1500108;1003;19;499,19
AX3339;19-01-2023;A5200100;1007;24;630,99
AX1065;04-04-2023;A1500109;1005;17;999
AX3343;21-01-2023;A1500107;1004;42;210
AX4655;27-08-2023;A3100104;1008;19;119,3
AX197;18-01-2023;A1500108;1006;29;159
AX3904;23-04-2023;A5200100;1004;29;210
AX2892;03-11-2023;A1500108;1007;23;630,99
AX2382;12-08-2023;A1500111;1006;40;159
AX565;19-02-2023;A1500109;1006;18;159
AX3691;18-03-2023;A5200100;1007;21;630,99
AX1162;11-04-2023;A1500108;1001;19;160,99
AX959;25-03-2023;A1500109;1001;24;160,99
AX4805;23-09-2023;A5200100;1008;32;119,3
AX2567;12-09-2023;A1500111;1005;39;999
AX3932;29-04-2023;A5200100;1004;29;210
AX3933;29-04-2023;A3100104;1007;20;630,99
AX3757;28-03-2023;A1500107;1005;48;999
AX440;08-02-2023;A1500109;1005;16;999
AX1949;16-06-2023;A1500108;1001;15;160,99
AX1910;11-06-2023;A1500111;1004;41;210
AX136;15-01-2023;A1500109;1006;13;159
AX2822;23-10-2023;A1500109;1003;17;499,19
AX4160;07-06-2023;A3100104;1007;18;630,99
AX3065;30-11-2023;A1500109;1001;19;160,99
AX5175;21-11-2023;A3100104;1007;21;630,99
AX4996;23-10-2023;A5200050;1007;21;630,99
AX655;27-02-2023;A1500109;1006;17;159
AX1504;09-05-2023;A1500109;1004;14;210
AX132;15-01-2023;A1500111;1008;2;119,3
AX3719;22-03-2023;A1500107;1007;44;630,99
AX731;06-03-2023;A1500109;1006;17;159
AX2237;18-07-2023;A1500111;1006;47;159
AX2787;16-10-2023;A1500111;1005;102;999
AX2640;24-09-2023;A1500109;1006;22;159
AX3114;08-12-2023;A1500109;1004;17;210
AX5259;05-12-2023;A3100104;1001;31;160,99
AX607;22-02-2023;A1500109;1004;12;210
AX4883;04-10-2023;A5200100;1007;34;630,99
AX2171;06-07-2023;A1500111;1001;15;160,99
AX3722;23-03-2023;A5200100;1001;40;160,99
AX1946;15-06-2023;A1500109;1006;16;159
AX4753;13-09-2023;A3100104;1005;17;999
AX4770;18-09-2023;A3100104;1008;28;119,3
AX5394;30-12-2023;A3100104;1008;15;119,3
AX1449;05-05-2023;A1500109;1004;16;210
AX391;04-02-2023;A1500109;1008;8;119,3
AX2337;06-08-2023;A1500108;1003;25;499,19
AX1441;05-05-2023;A1500108;1006;28;159
AX665;28-02-2023;A1500108;1006;39;159
AX5346;20-12-2023;A3100104;1004;49;210
AX2899;04-11-2023;A1500111;1005;43;999
AX3611;04-03-2023;A3100104;1004;44;210
AX2431;20-08-2023;A1500108;1006;26;159
AX5353;23-12-2023;A5200100;1001;30;160,99
AX120;13-01-2023;A1500109;1005;11;999
AX1614;19-05-2023;A1500111;1006;41;159
AX1469;07-05-2023;A1500111;1006;25;159
AX61;08-01-2023;A1500109;1004;15;210
AX401;05-02-2023;A1500109;1006;21;159
AX2720;06-10-2023;A1500108;1004;36;210
AX1010;30-03-2023;A1500111;1001;32;160,99
AX5305;12-12-2023;A5200100;1005;24;999
AX4310;04-07-2023;A3100104;1002;42;320,19
AX2056;24-06-2023;A1500109;1006;21;159
AX2588;17-09-2023;A1500109;1008;8;119,3
AX1707;26-05-2023;A1500109;1004;15;210
